Episode: 0, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 5, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 650, Recent Actor Losses: [tensor(-29.7326, device='cuda:0')], Recent Critic Losses: [tensor(0.2840, device='cuda:0')]
Episode: 655, Recent Actor Losses: [tensor(-29.9077, device='cuda:0')], Recent Critic Losses: [tensor(0.2379, device='cuda:0')]
Episode: 660, Recent Actor Losses: [tensor(-30.2304, device='cuda:0')], Recent Critic Losses: [tensor(0.4622, device='cuda:0')]
Episode: 665, Recent Actor Losses: [tensor(-31.7639, device='cuda:0')], Recent Critic Losses: [tensor(0.2245, device='cuda:0')]
Episode: 670, Recent Actor Losses: [tensor(-28.7096, device='cuda:0')], Recent Critic Losses: [tensor(1.9172, device='cuda:0')]
Episode: 675, Recent Actor Losses: [tensor(-31.9131, device='cuda:0')], Recent Critic Losses: [tensor(1.0405, device='cuda:0')]
Episode: 680, Recent Actor Losses: [tensor(-29.7401, device='cuda:0')], Recent Critic Losses: [tensor(0.8740, device='cuda:0')]
Episode: 685, Recent Actor Losses: [tensor(-30.4410, device='cuda:0')], Recent Critic Losses: [tensor(0.6062, device='cuda:0')]
Episode: 690, Recent Actor Losses: [tensor(-30.4290, device='cuda:0')], Recent Critic Losses: [tensor(1.3346, device='cuda:0')]
Episode: 695, Recent Actor Losses: [tensor(-28.5520, device='cuda:0')], Recent Critic Losses: [tensor(1.0230, device='cuda:0')]
Episode: 700, Recent Actor Losses: [tensor(-30.6148, device='cuda:0')], Recent Critic Losses: [tensor(0.1513, device='cuda:0')]
Episode: 705, Recent Actor Losses: [tensor(-31.7073, device='cuda:0')], Recent Critic Losses: [tensor(0.5123, device='cuda:0')]
Episode: 710, Recent Actor Losses: [tensor(-30.2085, device='cuda:0')], Recent Critic Losses: [tensor(0.7927, device='cuda:0')]
Episode: 715, Recent Actor Losses: [tensor(-32.3439, device='cuda:0')], Recent Critic Losses: [tensor(0.4067, device='cuda:0')]
Episode: 720, Recent Actor Losses: [tensor(-28.7558, device='cuda:0')], Recent Critic Losses: [tensor(0.1583, device='cuda:0')]
Episode: 725, Recent Actor Losses: [tensor(-30.8259, device='cuda:0')], Recent Critic Losses: [tensor(0.8082, device='cuda:0')]
Episode: 730, Recent Actor Losses: [tensor(-31.7493, device='cuda:0')], Recent Critic Losses: [tensor(0.5314, device='cuda:0')]
Episode: 735, Recent Actor Losses: [tensor(-29.6506, device='cuda:0')], Recent Critic Losses: [tensor(0.7450, device='cuda:0')]
Episode: 740, Recent Actor Losses: [tensor(-30.4997, device='cuda:0')], Recent Critic Losses: [tensor(0.7454, device='cuda:0')]
Episode: 745, Recent Actor Losses: [tensor(-29.9863, device='cuda:0')], Recent Critic Losses: [tensor(0.3189, device='cuda:0')]
Episode: 750, Recent Actor Losses: [tensor(-31.8996, device='cuda:0')], Recent Critic Losses: [tensor(0.8190, device='cuda:0')]
Episode: 755, Recent Actor Losses: [tensor(-30.5390, device='cuda:0')], Recent Critic Losses: [tensor(1.5732, device='cuda:0')]
Episode: 760, Recent Actor Losses: [tensor(-32.1038, device='cuda:0')], Recent Critic Losses: [tensor(0.4634, device='cuda:0')]
Episode: 765, Recent Actor Losses: [tensor(-30.5950, device='cuda:0')], Recent Critic Losses: [tensor(0.7051, device='cuda:0')]
